Age of Householder,Married-couples familes,,"Male householder, no wife present",,"Female householder, no husband present",,"Male householder, one person present",,"Female householder, one person present",,"Male householder,Other 2-or-more person households",,"Female householder, Other 2-or-more person households",,"Male householder, single householders",,"Female householder, single householders",,
...60 to 64 years.........................................................,"5,247","4,800",289,220,716,497,"1,335",818,"1,886","1,265",178,115,192,142,"1,802","1,153","2,794","1,904",
...65 to 69 years.........................................................,"3,851","3,574",144,102,547,399,898,584,"1,627","1,132",121,88,118,91,"1,163",774,"2,293","1,622",
...70 to 74 years........................................................,"2,865","2,672",99,80,409,330,659,436,"1,399","1,016",58,44,68,52,816,559,"1,877","1,398",
...75 years and over.................................................,"3,954","3,577",225,194,928,788,"1,572","1,136","4,608","3,264",95,70,87,65,"1,892","1,401","5,624","4,117",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"9,101","5,205","2,239",895,"4,594","1,173","3,138",834,"2,367",520,"2,219",530,"1,443",309,"7,595","2,259","8,403","2,002",
É..35 to 44 years.........................................................,"11,509","8,913","1,116",608,"3,229","1,368","2,073",914,"1,287",564,656,292,313,149,"3,846","1,814","4,830","2,082",
É..45 to 54 years.....................................................,"12,681","10,890","1,140",750,"3,006","1,755","2,892","1,540","2,376","1,281",630,364,511,306,"4,663","2,654","5,893","3,343",
É..55 to 64 years......................................................,"11,113","10,075",694,517,"1,685","1,116","2,819","1,665","3,540","2,295",422,272,418,302,"3,935","2,455","5,643","3,712",
É..65 years and over.............................................,"10,669","9,823",468,376,"1,885","1,517","3,128","2,156","7,635","5,412",275,201,273,209,"3,871","2,734","9,793","7,138",
2012,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","55,601","44,923","5,853","3,271","14,622","6,821","14,104","7,017","17,231","10,050","4,203","1,673","2,955","1,211","24,160","11,961","34,807","18,082",
...Less than 25 years..............................................,973,301,904,366,"1,390",341,705,91,651,84,765,81,688,54,"2,374",539,"2,728",479,
...25 to 29 years........................................................,"3,119","1,583",681,272,"1,525",329,"1,167",309,892,194,892,208,506,113,"2,740",790,"2,923",636,
...30 to 34 years..........................................................,"4,940","3,132",643,277,"1,676",453,"1,178",385,746,239,551,195,239,91,"2,372",857,"2,661",784,
...35 to 39 years........................................................,"5,293","3,812",559,286,"1,715",598,965,377,566,203,314,113,157,58,"1,838",776,"2,439",860,
...40 to 44 years......................................................,"6,098","4,834",612,348,"1,676",745,"1,117",510,717,323,298,147,156,84,"2,027","1,004","2,549","1,152",
...45 to 49 years........................................................,"6,049","5,051",614,387,"1,553",817,"1,306",661,932,458,304,173,215,120,"2,225","1,221","2,699","1,394",
...50 to 54 years.......................................................,"6,424","5,586",559,376,"1,415",846,"1,524",809,"1,367",735,313,203,249,144,"2,396","1,387","3,031","1,725",
...55 to 59 years........................................................,"6,080","5,414",450,312,"1,036",664,"1,534",861,"1,674","1,018",256,161,264,177,"2,240","1,334","2,974","1,859",
...60 to 64 years.........................................................,"5,278","4,799",289,209,769,520,"1,367",786,"1,868","1,222",202,148,181,143,"1,858","1,143","2,818","1,885",
...65 to 69 years.........................................................,"4,244","3,887",177,133,535,395,"1,008",642,"1,769","1,228",137,110,118,86,"1,322",886,"2,422","1,709",
...70 to 74 years........................................................,"2,981","2,781",118,101,400,317,703,471,"1,459","1,066",80,63,75,58,900,635,"1,934","1,442",
...75 years and over.................................................,"4,121","3,744",245,204,933,797,"1,532","1,115","4,590","3,279",91,70,107,81,"1,868","1,390","5,630","4,157",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"9,031","5,016","2,229",915,"4,591","1,123","3,049",786,"2,289",517,"2,209",484,"1,432",259,"7,487","2,185","8,312","1,899",
É..35 to 44 years.........................................................,"11,391","8,646","1,171",634,"3,391","1,343","2,082",886,"1,284",526,611,259,313,142,"3,865","1,780","4,987","2,011",
É..45 to 54 years.....................................................,"12,473","10,637","1,174",763,"2,967","1,663","2,831","1,470","2,299","1,193",617,376,463,264,"4,621","2,608","5,730","3,119",
É..55 to 64 years......................................................,"11,358","10,213",739,521,"1,805","1,184","2,901","1,647","3,541","2,240",458,309,446,321,"4,098","2,477","5,792","3,745",
É..65 years and over.............................................,"11,346","10,412",540,439,"1,868","1,509","3,242","2,228","7,818","5,573",308,244,300,225,"4,091","2,911","9,986","7,307",
2013,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","55,434","44,755","6,023","3,328","14,536","6,790","14,346","7,145","17,574","10,051","4,368","1,739","3,029","1,269","24,737","12,212","35,139","18,110",
...Less than 25 years..............................................,944,299,925,387,"1,384",358,741,98,720,78,780,81,666,67,"2,445",567,"2,771",503,
...25 to 29 years........................................................,"3,030","1,559",707,267,"1,504",332,"1,173",310,886,178,902,209,575,138,"2,782",785,"2,966",649,
...30 to 34 years..........................................................,"4,991","3,188",651,276,"1,655",476,"1,163",375,762,223,550,189,246,90,"2,364",841,"2,663",789,
...35 to 39 years........................................................,"5,203","3,686",620,289,"1,661",559,987,392,589,219,329,121,166,65,"1,937",803,"2,416",843,
...40 to 44 years......................................................,"5,847","4,656",646,353,"1,672",729,"1,101",497,682,294,295,147,165,90,"2,042",998,"2,519","1,112",
...45 to 49 years........................................................,"5,991","4,994",574,361,"1,512",765,"1,226",615,942,460,309,177,211,125,"2,109","1,153","2,665","1,350",
...50 to 54 years.......................................................,"6,451","5,554",560,380,"1,391",816,"1,529",791,"1,383",743,354,218,234,142,"2,443","1,389","3,008","1,700",
...55 to 59 years........................................................,"6,087","5,393",457,323,"1,059",688,"1,566",871,"1,682",998,270,180,252,163,"2,293","1,374","2,993","1,848",
...60 to 64 years.........................................................,"5,247","4,741",312,217,747,500,"1,438",835,"1,884","1,192",205,143,188,144,"1,956","1,196","2,819","1,835",
...65 to 69 years.........................................................,"4,502","4,133",175,140,549,395,"1,065",666,"1,770","1,180",160,115,136,101,"1,400",921,"2,455","1,676",
...70 to 74 years........................................................,"3,102","2,877",123,96,443,348,744,516,"1,618","1,164",97,75,77,60,965,687,"2,138","1,572",
...75 years and over.................................................,"4,038","3,675",272,237,959,826,"1,614","1,178","4,655","3,322",115,83,114,85,"2,001","1,498","5,728","4,233",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"8,965","5,046","2,283",930,"4,544","1,166","3,076",783,"2,369",480,"2,232",479,"1,487",295,"7,591","2,193","8,400","1,941",
É..35 to 44 years.........................................................,"11,050","8,342","1,266",642,"3,333","1,288","2,089",889,"1,271",512,625,269,331,155,"3,979","1,800","4,935","1,955",
É..45 to 54 years.....................................................,"12,442","10,548","1,134",741,"2,903","1,580","2,755","1,406","2,325","1,203",663,395,444,267,"4,552","2,542","5,672","3,050",
É..55 to 64 years......................................................,"11,334","10,134",770,540,"1,806","1,188","3,004","1,706","3,566","2,190",475,324,440,306,"4,249","2,570","5,812","3,684",
É..65 years and over.............................................,"11,642","10,685",571,474,"1,950","1,568","3,423","2,360","8,043","5,666",372,272,327,247,"4,366","3,107","10,320","7,481",
2014,Total,Owner,Total,Owner,Total,Owner,Total,Owner,Total ,Owner,Total,Owner,Total,Owner,Total,Owner,Total,Owner,
"United States, total.....................","55,779","44,761","6,125","3,338","14,614","6,756","14,567","7,156","17,749","10,053","4,426","1,668","3,155","1,307","25,118","12,162","35,518","18,116",
...Less than 25 years..............................................,873,278,968,383,"1,319",340,803,111,734,79,790,82,674,67,"2,561",576,"2,727",486,
...25 to 29 years........................................................,"2,948","1,467",776,308,"1,492",327,"1,222",278,910,174,929,217,607,137,"2,928",803,"3,009",638,
...30 to 34 years..........................................................,"5,048","3,181",648,269,"1,702",474,"1,139",360,754,202,559,186,278,97,"2,345",815,"2,734",773,
...35 to 39 years........................................................,"5,311","3,721",609,320,"1,677",560,"1,032",415,579,234,359,126,172,78,"2,000",861,"2,428",872,
...40 to 44 years......................................................,"5,738","4,449",647,363,"1,646",690,"1,066",477,649,263,301,133,158,76,"2,015",974,"2,452","1,029",
...45 to 49 years........................................................,"5,929","4,877",569,349,"1,493",750,"1,170",570,914,438,301,162,219,117,"2,040","1,080","2,626","1,304",
...50 to 54 years.......................................................,"6,442","5,523",560,365,"1,346",775,"1,484",789,"1,362",736,318,195,258,166,"2,362","1,349","2,966","1,678",
...55 to 59 years........................................................,"6,103","5,436",454,311,"1,058",670,"1,543",843,"1,740","1,018",282,168,248,176,"2,279","1,321","3,046","1,864",
...60 to 64 years.........................................................,"5,381","4,849",317,226,780,523,"1,458",845,"1,885","1,187",202,134,200,132,"1,977","1,205","2,866","1,842",
...65 to 69 years.........................................................,"4,668","4,276",194,141,602,431,"1,173",742,"1,832","1,242",155,103,141,104,"1,522",987,"2,576","1,778",
...70 to 74 years........................................................,"3,242","2,992",127,91,463,352,786,526,"1,672","1,177",110,86,82,66,"1,023",703,"2,218","1,595",
...75 years and over.................................................,"4,094","3,712",255,211,"1,036",863,"1,693","1,201","4,718","3,303",118,76,118,90,"2,066","1,487","5,871","4,257",
,,,,,,,,,,,,,,,,,,,
É..Less than 35 years.............................................,"8,869","4,927","2,392",960,"4,513","1,140","3,164",749,"2,397",454,"2,278",485,"1,559",302,"7,834","2,194","8,470","1,896",
É..35 to 44 years.........................................................,"11,049","8,169","1,257",684,"3,323","1,250","2,098",892,"1,228",497,660,259,329,154,"4,015","1,835","4,880","1,901",
É..45 to 54 years.....................................................,"12,372","10,400","1,129",714,"2,838","1,525","2,654","1,359","2,276","1,174",620,357,477,283,"4,403","2,430","5,592","2,982",
É..55 to 64 years......................................................,"11,485","10,285",771,537,"1,838","1,194","3,000","1,688","3,626","2,205",484,302,448,308,"4,256","2,527","5,911","3,706",
É..65 years and over.............................................,"12,005","10,980",576,444,"2,102","1,647","3,652","2,469","8,222","5,723",383,265,341,260,"4,611","3,178","10,665","7,630",
